time,year,month,latitude,longitude,depth,mag,magType,place,type,felt,alert,tsunami,sig,nst,dmin,rms,horizontalError,depthError,id
1943-06-15,1943,6,-5.0334,97.4805,89.4,5.1,ms,Ring of Fire - Indonesia,earthquake,0,green,0,17,100,3.157,0.38,19.1,14.4,us0000000012
2021-06-14,2021,6,-53.6212,156.4433,12.3,5.6,mw,Other,earthquake,3,green,0,99,84,0.095,1.32,16.2,8.1,us0000000013
2016-04-19,2016,4,-8.3923,133.567,125.5,5.4,mw,Ring of Fire - Indonesia,earthquake,2,green,0,77,97,2.812,1.6,19.1,1.0,us0000000014
2012-09-23,2012,9,37.3708,-124.6886,13.4,5.2,mw,California - USA,earthquake,2,green,0,34,53,2.777,1.31,14.3,10.4,us0000000015
2015-07-13,2015,7,60.1749,-161.1387,11.7,5.0,mb,Ring of Fire - Alaska,earthquake,0,green,0,4,69,1.482,0.37,9.0,5.0,us0000000016
1995-06-09,1995,6,37.8576,-119.1484,5.4,5.0,ms,California - USA,earthquake,0,green,0,3,186,2.162,1.88,13.3,12.3,us0000000017
1924-10-13,1924,10,36.156,133.9524,127.6,5.6,mw,Ring of Fire - Japan,earthquake,4,green,0,97,12,2.327,1.01,11.1,11.0,us0000000018
1936-06-04,1936,6,-7.8903,116.5477,40.8,5.4,ms,Ring of Fire - Indonesia,earthquake,4,green,0,73,180,3.555,1.09,2.8,14.2,us0000000019
1961-02-23,1961,2,32.7926,140.1279,58.8,5.4,ms,Ring of Fire - Japan,earthquake,1,green,0,63,107,1.19,0.13,1.7,11.9,us0000000020
2017-03-05,2017,3,-58.0471,137.7643,17.1,5.0,ms,Other,earthquake,0,green,0,0,189,0.537,0.8,4.2,10.8,us0000000021
1988-06-23,1988,6,-0.2132,108.3146,244.0,5.4,mb,Ring of Fire - Indonesia,earthquake,2,green,0,63,88,1.739,0.91,12.2,1.5,us0000000022
1927-05-13,1927,5,-24.3277,-69.6267,119.1,5.0,mw,Ring of Fire - Chile,earthquake,1,green,0,0,178,3.307,1.55,6.1,5.6,us0000000023
2012-08-17,2012,8,41.3677,140.2968,14.4,6.0,mw,Ring of Fire - Japan,earthquake,21,yellow,0,181,97,3.214,1.88,17.9,12.5,us0000000024
2013-11-17,2013,11,14.1279,126.6137,239.8,5.1,mw,Ring of Fire - Philippines,earthquake,0,green,0,18,183,0.262,1.6,12.9,6.7,us0000000025
1925-03-23,1925,3,31.8426,89.6364,39.4,5.9,mw,Himalayan Belt,earthquake,4,green,0,167,147,0.678,0.33,3.7,9.6,us0000000026
1952-12-16,1952,12,27.1266,179.5007,48.2,6.0,mb,Other,earthquake,4,yellow,0,180,70,4.755,0.34,4.6,2.1,us0000000027
1945-08-10,1945,8,-7.1574,124.446,108.4,6.6,mw,Ring of Fire - Indonesia,earthquake,28,orange,0,288,26,3.597,1.66,3.7,12.6,us0000000028
1930-08-24,1930,8,-6.5522,111.6391,38.3,5.4,mw,Ring of Fire - Indonesia,earthquake,1,green,0,62,196,3.86,1.87,3.8,5.5,us0000000029
1983-05-09,1983,5,5.4753,140.0485,75.4,5.0,mw,Other,earthquake,1,green,0,7,50,3.175,2.0,15.4,11.7,us0000000030
1979-11-03,1979,11,-39.9068,-68.6,131.4,5.1,mw,Ring of Fire - Chile,earthquake,1,green,0,13,108,3.226,1.9,8.8,3.0,us0000000031
1991-08-22,1991,8,56.4767,-165.9224,7.4,5.1,mw,Ring of Fire - Alaska,earthquake,1,green,0,18,160,0.465,0.88,3.2,12.3,us0000000032
2018-04-20,2018,4,35.9761,130.0841,56.0,5.2,mw,Ring of Fire - Japan,earthquake,1,green,0,34,53,3.947,1.52,12.1,2.1,us0000000033
2007-11-17,2007,11,39.6163,73.9069,21.2,5.2,mw,Himalayan Belt,earthquake,0,green,0,36,144,4.902,0.22,12.4,14.7,us0000000034
1971-05-02,1971,5,40.811,-179.3323,107.4,5.4,mb,Other,earthquake,2,green,0,63,145,0.441,0.48,8.9,10.3,us0000000035
1991-06-16,1991,6,20.409,-71.3661,19.5,5.3,mw,Caribbean,earthquake,6,green,0,57,180,1.583,0.55,2.6,2.0,us0000000036
1976-09-05,1976,9,40.0467,137.1571,56.5,5.0,mw,Ring of Fire - Japan,earthquake,0,green,0,0,33,1.713,0.49,1.0,9.3,us0000000037
1903-08-16,1903,8,58.3228,-156.9918,65.0,5.0,mb,Ring of Fire - Alaska,earthquake,0,green,0,2,77,4.221,1.63,18.6,6.5,us0000000038
1988-01-07,1988,1,38.1344,135.2977,77.0,5.8,mw,Ring of Fire - Japan,earthquake,6,green,0,140,59,4.929,1.95,11.9,3.0,us0000000039
1932-06-24,1932,6,6.051,126.1591,249.6,5.3,mw,Ring of Fire - Philippines,earthquake,2,green,0,47,167,2.395,0.91,3.4,11.0,us0000000040
1978-01-11,1978,1,-11.608,-179.3154,7.7,5.2,mw,Other,earthquake,0,green,0,30,33,4.121,0.27,20.0,7.0,us0000000041
1959-03-14,1959,3,11.5806,-31.4405,11.0,5.1,mw,Mid-Atlantic Ridge,earthquake,1,green,0,15,71,0.236,1.83,3.7,8.7,us0000000042
1931-07-23,1931,7,-44.6266,-69.4184,93.7,5.6,mw,Ring of Fire - Chile,earthquake,12,green,0,105,185,3.221,0.61,15.7,4.1,us0000000043
1924-12-13,1924,12,5.2973,120.6577,58.2,5.2,mw,Ring of Fire - Philippines,earthquake,1,green,0,42,89,2.071,1.7,6.0,1.1,us0000000044
1996-04-09,1996,4,44.1015,136.2773,61.8,5.7,ms,Ring of Fire - Japan,earthquake,5,green,0,122,22,1.252,1.69,16.8,3.5,us0000000045
1938-06-02,1938,6,6.3825,120.3115,245.3,5.7,ms,Ring of Fire - Philippines,earthquake,4,green,0,126,32,1.738,1.65,1.6,9.5,us0000000046
2010-09-02,2010,9,44.6165,137.8579,25.5,6.4,ms,Ring of Fire - Japan,earthquake,28,yellow,0,254,173,3.977,1.34,7.3,12.3,us0000000047
1997-06-25,1997,6,-4.6091,106.7224,95.8,6.0,mb,Ring of Fire - Indonesia,earthquake,21,yellow,0,185,168,4.051,0.27,10.3,1.0,us0000000048
1960-12-14,1960,12,-34.1677,-66.5922,202.2,5.6,ms,Ring of Fire - Chile,earthquake,10,green,0,108,124,4.864,0.1,3.8,12.4,us0000000049
1945-04-13,1945,4,-18.7652,110.5648,10.2,5.3,mw,Other,earthquake,2,green,0,44,176,4.471,0.94,1.1,11.7,us0000000050
1947-02-27,1947,2,31.069,144.6404,123.0,6.9,ms,Ring of Fire - Japan,earthquake,92,orange,0,343,15,4.593,0.78,18.4,8.1,us0000000051
1958-11-06,1958,11,41.8598,133.8434,366.1,5.1,mw,Ring of Fire - Japan,earthquake,1,green,0,24,198,0.133,0.45,19.6,1.7,us0000000052
1973-09-15,1973,9,-36.8336,175.7726,151.8,5.7,mw,New Zealand,earthquake,7,green,0,117,175,1.942,0.53,1.6,11.5,us0000000053
1901-12-27,1901,12,32.0391,-120.0857,6.0,5.6,mb,California - USA,earthquake,4,green,0,103,17,3.266,0.23,15.9,14.9,us0000000054
1998-08-27,1998,8,34.3316,84.1823,81.4,5.4,mb,Himalayan Belt,earthquake,1,green,0,68,188,1.015,0.84,16.6,13.8,us0000000055
1901-12-18,1901,12,-7.6351,-39.4571,26.9,5.6,mw,Mid-Atlantic Ridge,earthquake,1,green,0,105,6,1.207,0.81,6.9,9.8,us0000000056
2003-05-04,2003,5,-23.5479,-74.0596,41.3,5.0,mb,Ring of Fire - Chile,earthquake,1,green,0,1,136,3.337,0.64,19.9,2.6,us0000000057
1914-06-09,1914,6,31.1704,143.6977,55.1,5.0,mw,Ring of Fire - Japan,earthquake,1,green,0,4,127,0.389,0.93,7.1,0.6,us0000000058
1977-01-22,1977,1,30.7422,135.695,40.0,5.1,mw,Ring of Fire - Japan,earthquake,1,green,0,12,168,3.655,1.69,11.5,3.5,us0000000059
1924-10-21,1924,10,42.0933,132.9883,19.2,5.0,mw,Ring of Fire - Japan,earthquake,3,green,0,4,116,1.598,1.25,18.2,13.1,us0000000060
1914-01-18,1914,1,10.0441,122.2823,163.7,6.7,mb,Ring of Fire - Philippines,earthquake,33,orange,0,302,170,1.698,0.57,12.7,10.2,us0000000061
1983-10-03,1983,10,33.7361,-28.7555,95.9,5.0,mb,Other,earthquake,1,green,0,3,73,3.88,1.87,6.1,6.0,us0000000062
1903-09-08,1903,9,11.3227,-64.1696,27.8,5.3,mw,Caribbean,earthquake,1,green,0,50,58,4.281,0.43,8.2,4.6,us0000000063
1999-06-26,1999,6,-30.4078,-66.5333,43.2,5.0,mb,Ring of Fire - Chile,earthquake,0,green,0,2,138,0.676,0.79,5.3,10.4,us0000000064
1996-07-13,1996,7,9.5687,122.8019,177.3,5.1,ms,Ring of Fire - Philippines,earthquake,2,green,0,10,115,1.296,1.21,17.8,2.8,us0000000065
2008-09-08,2008,9,-38.0107,-68.4583,17.5,5.3,mw,Ring of Fire - Chile,earthquake,1,green,0,46,87,0.193,1.9,7.2,9.8,us0000000066
1982-08-14,1982,8,-3.4347,96.4167,49.9,5.4,mw,Ring of Fire - Indonesia,earthquake,3,green,0,73,144,1.241,1.26,6.9,13.3,us0000000067
1984-09-08,1984,9,1.9644,96.0884,220.9,5.0,mw,Ring of Fire - Indonesia,earthquake,0,green,0,0,144,1.329,1.4,19.2,10.6,us0000000068
2000-02-05,2000,2,54.5964,-149.9608,22.4,6.3,mw,Ring of Fire - Alaska,earthquake,10,yellow,0,228,111,2.684,0.12,18.6,11.8,us0000000069
1986-03-17,1986,3,19.469,-72.9846,69.4,5.6,ms,Caribbean,earthquake,5,green,0,99,126,1.074,0.77,1.2,14.7,us0000000070
2004-12-18,2004,12,35.7408,-118.4432,15.1,5.2,mb,California - USA,earthquake,1,green,0,39,148,3.57,0.48,8.2,14.3,us0000000071
1950-07-08,1950,7,-54.0732,-135.9046,8.0,5.0,mw,Other,earthquake,1,green,0,8,146,1.109,1.66,3.9,4.6,us0000000072
2010-03-15,2010,3,54.7519,-162.8675,69.8,5.6,ms,Ring of Fire - Alaska,earthquake,3,green,0,108,132,0.751,1.29,1.6,9.4,us0000000073
1995-12-04,1995,12,53.9136,-173.0429,70.4,5.1,mw,Ring of Fire - Alaska,earthquake,0,green,0,19,157,3.114,1.23,7.9,8.9,us0000000074
2006-10-19,2006,10,31.7025,132.5232,88.1,5.4,mw,Ring of Fire - Japan,earthquake,1,green,0,69,51,3.755,0.81,1.0,5.1,us0000000075
2017-09-20,2017,9,-36.6553,176.5787,49.6,6.8,mb,New Zealand,earthquake,50,orange,0,322,88,4.373,1.31,18.3,10.8,us0000000076
1974-12-03,1974,12,-31.0475,-71.4092,156.6,5.5,mw,Ring of Fire - Chile,earthquake,1,green,0,92,150,0.489,1.52,12.9,4.5,us0000000077
1966-12-07,1966,12,52.1572,-159.8863,36.4,5.7,ms,Ring of Fire - Alaska,earthquake,5,green,0,118,44,3.36,0.27,16.3,8.5,us0000000078
2000-09-17,2000,9,-28.5875,63.7648,44.7,5.3,mw,Other,earthquake,1,green,0,59,76,3.812,0.43,17.2,3.4,us0000000079
2007-06-07,2007,6,-36.3589,171.2554,83.2,6.0,ms,New Zealand,earthquake,11,green,0,173,68,1.359,0.14,14.7,0.6,us0000000080
2023-10-18,2023,10,-0.2628,124.3568,123.6,5.5,mw,Ring of Fire - Indonesia,earthquake,4,green,1,97,69,4.738,1.65,3.8,9.9,us0000000081
1939-05-26,1939,5,16.2423,126.4033,19.0,5.1,mw,Ring of Fire - Philippines,earthquake,2,green,0,26,53,3.183,0.27,3.1,2.8,us0000000082
2003-07-01,2003,7,38.0113,88.8629,55.9,5.5,mb,Himalayan Belt,earthquake,2,green,0,91,176,1.129,1.75,6.9,9.5,us0000000083
1930-11-03,1930,11,32.2729,140.6655,63.9,5.3,ms,Ring of Fire - Japan,earthquake,2,green,0,52,13,1.162,0.68,2.1,14.5,us0000000084
1954-10-03,1954,10,-31.9524,-71.2948,13.0,5.4,mw,Ring of Fire - Chile,earthquake,2,green,0,68,155,0.962,0.29,8.4,13.5,us0000000085
1968-01-24,1968,1,-41.4483,176.2426,59.0,5.1,mw,New Zealand,earthquake,1,green,0,19,151,1.674,0.49,14.9,8.3,us0000000086
2013-05-16,2013,5,53.2429,-165.6088,37.0,5.4,ms,Ring of Fire - Alaska,earthquake,2,green,0,67,25,4.735,0.77,8.7,2.4,us0000000087
1945-09-15,1945,9,37.14,140.4128,20.3,5.6,mw,Ring of Fire - Japan,earthquake,5,green,0,115,81,0.826,0.23,11.8,8.2,us0000000088
1955-12-03,1955,12,2.6842,135.3735,57.9,5.2,mw,Ring of Fire - Indonesia,earthquake,1,green,0,29,26,2.884,0.81,18.9,2.2,us0000000089
1981-07-10,1981,7,19.6755,121.4407,189.0,5.2,mw,Ring of Fire - Philippines,earthquake,0,green,0,30,163,2.688,0.96,7.2,2.5,us0000000090
2015-09-18,2015,9,39.3206,-122.0071,11.4,5.3,ms,California - USA,earthquake,1,green,0,56,25,0.149,1.72,7.8,11.9,us0000000091
1989-06-02,1989,6,9.7628,127.3424,373.5,5.3,mw,Ring of Fire - Philippines,earthquake,3,green,0,47,19,1.363,0.18,19.0,2.5,us0000000092
1986-08-03,1986,8,9.762,53.0872,12.5,5.1,mw,Other,earthquake,0,green,0,13,102,2.333,1.06,15.6,14.2,us0000000093
2017-11-04,2017,11,-39.9172,166.0185,125.3,5.1,mw,New Zealand,earthquake,2,green,0,13,88,3.406,1.3,13.6,3.1,us0000000094
2020-07-23,2020,7,-16.5449,-87.1235,16.5,5.0,mw,Other,earthquake,0,green,0,5,186,4.91,1.5,9.9,11.7,us0000000095
1953-05-08,1953,5,-8.5741,-28.1989,32.0,5.0,mw,Mid-Atlantic Ridge,earthquake,0,green,0,0,10,1.794,1.9,12.2,1.6,us0000000096
2004-09-19,2004,9,44.8034,143.0341,119.2,5.4,mb,Ring of Fire - Japan,earthquake,0,green,0,66,168,4.26,0.96,2.0,7.9,us0000000097
1945-12-18,1945,12,32.9731,-119.077,41.0,5.2,mb,California - USA,earthquake,2,green,0,33,144,4.728,1.02,0.5,6.6,us0000000098
1971-03-10,1971,3,9.3838,126.3144,42.7,5.0,mw,Ring of Fire - Philippines,earthquake,0,green,0,5,60,1.836,1.04,6.6,12.0,us0000000099
2006-04-22,2006,4,35.9178,136.5311,113.5,5.1,ms,Ring of Fire - Japan,earthquake,0,green,0,26,105,3.51,1.06,17.4,1.5,us0000000100
2010-06-04,2010,6,59.2642,-78.6112,28.5,5.9,mw,Other,earthquake,11,green,0,164,27,1.628,1.72,5.4,12.9,us0000000101
2024-12-03,2024,12,-9.6828,-20.9327,25.1,5.9,ms,Mid-Atlantic Ridge,earthquake,11,green,0,162,9,0.912,0.37,9.9,10.4,us0000000102
1946-03-15,1946,3,31.437,133.4482,23.9,5.2,mb,Ring of Fire - Japan,earthquake,2,green,0,42,98,1.362,1.65,9.0,14.1,us0000000103
1998-11-20,1998,11,26.9883,94.2807,110.4,6.3,ms,Himalayan Belt,earthquake,17,yellow,0,231,150,1.189,1.29,9.3,8.3,us0000000104
2020-01-09,2020,1,30.5663,143.3285,65.4,5.3,mw,Ring of Fire - Japan,earthquake,3,green,0,58,90,4.829,1.59,20.0,3.2,us0000000105
1978-10-15,1978,10,31.1654,136.9074,119.5,5.6,ml,Ring of Fire - Japan,earthquake,2,green,0,98,55,1.891,1.26,14.6,1.2,us0000000106
1998-10-20,1998,10,36.4329,-121.7935,35.9,5.7,ml,California - USA,earthquake,8,green,0,123,114,3.529,0.73,4.0,11.9,us0000000107
1933-02-16,1933,2,-35.3047,177.0003,77.8,6.1,mw,New Zealand,earthquake,12,yellow,0,202,157,3.342,0.2,9.6,7.7,us0000000108
1997-06-15,1997,6,17.2328,121.6429,125.9,5.6,mw,Ring of Fire - Philippines,earthquake,3,green,0,101,130,2.721,1.0,14.9,9.4,us0000000109
1921-07-20,1921,7,-42.8403,177.4021,69.6,5.4,mw,New Zealand,earthquake,2,green,0,63,99,1.006,1.06,13.7,6.1,us0000000110
2007-01-12,2007,1,17.5723,127.8296,103.0,5.6,mb,Ring of Fire - Philippines,earthquake,8,green,0,104,64,1.133,0.43,13.7,1.9,us0000000111
1946-04-06,1946,4,40.2091,132.5737,28.4,5.6,mb,Ring of Fire - Japan,earthquake,9,green,0,104,9,4.322,0.32,1.3,12.2,us0000000112
1956-10-11,1956,10,1.3438,136.7926,54.8,5.6,ms,Ring of Fire - Indonesia,earthquake,7,green,0,99,153,2.535,1.03,14.2,2.7,us0000000113
2018-05-09,2018,5,43.5711,144.4398,12.3,5.4,mb,Ring of Fire - Japan,earthquake,2,green,0,74,10,4.192,0.59,10.4,6.7,us0000000114
1930-09-03,1930,9,3.2674,134.0825,10.0,5.3,mb,Ring of Fire - Indonesia,earthquake,2,green,0,60,83,1.582,1.63,8.2,12.4,us0000000115
1985-04-26,1985,4,-15.6506,-66.599,34.0,6.5,mb,Ring of Fire - Chile,earthquake,56,orange,1,271,199,3.025,1.28,16.5,1.1,us0000000116
1969-08-07,1969,8,16.7002,122.5288,41.1,5.0,mb,Ring of Fire - Philippines,earthquake,0,green,0,3,168,2.997,0.11,8.0,12.1,us0000000117
1939-11-05,1939,11,30.5111,140.24,121.6,5.4,mb,Ring of Fire - Japan,earthquake,1,green,0,64,168,1.924,0.39,4.6,9.4,us0000000118
2005-02-12,2005,2,-39.8967,169.6744,57.4,5.1,mw,New Zealand,earthquake,0,green,0,18,43,4.028,1.17,11.2,1.7,us0000000119
1988-08-05,1988,8,-1.0456,120.3516,40.8,5.4,mw,Ring of Fire - Indonesia,earthquake,2,green,0,69,159,1.44,0.3,17.5,7.9,us0000000120
1975-08-20,1975,8,-8.0486,99.3989,98.0,5.5,ms,Ring of Fire - Indonesia,earthquake,3,green,0,85,127,3.483,0.84,16.0,13.4,us0000000121
2013-06-13,2013,6,-0.3515,98.7886,179.5,5.5,mb,Ring of Fire - Indonesia,earthquake,7,green,0,91,132,4.923,0.12,9.0,6.0,us0000000122
2023-03-12,2023,3,56.5356,62.7679,33.3,5.2,mw,Other,earthquake,2,green,0,35,139,4.763,0.17,1.3,14.6,us0000000123
1955-05-01,1955,5,18.1448,120.9273,114.0,5.7,ms,Ring of Fire - Philippines,earthquake,23,green,0,128,197,3.098,1.67,12.9,11.1,us0000000124
1917-04-03,1917,4,37.0784,85.7239,50.6,5.0,mw,Himalayan Belt,earthquake,1,green,0,2,24,0.061,0.55,18.8,11.8,us0000000125
1948-03-25,1948,3,35.4746,138.3542,14.6,5.0,mw,Ring of Fire - Japan,earthquake,1,green,0,1,147,0.115,1.25,11.3,11.7,us0000000126
2017-10-19,2017,10,-19.732,-69.5367,61.7,5.4,ms,Ring of Fire - Chile,earthquake,1,green,0,69,44,4.906,0.86,18.3,10.3,us0000000127
1962-06-13,1962,6,-24.3385,-66.2548,12.2,5.3,mw,Ring of Fire - Chile,earthquake,2,green,0,53,77,2.136,0.93,11.4,14.8,us0000000128
1953-04-07,1953,4,1.1156,108.9705,69.2,5.5,mb,Ring of Fire - Indonesia,earthquake,3,green,0,80,40,4.063,0.94,15.1,6.0,us0000000129
2023-01-02,2023,1,-38.9928,-65.5059,157.4,5.2,mw,Ring of Fire - Chile,earthquake,4,green,0,32,83,2.836,1.98,6.2,11.1,us0000000130
1917-03-12,1917,3,43.4438,135.2204,262.2,5.1,ms,Ring of Fire - Japan,earthquake,1,green,0,18,133,1.011,1.58,17.4,14.7,us0000000131
2015-09-27,2015,9,40.4487,-35.6871,72.8,6.0,mw,Mid-Atlantic Ridge,earthquake,4,green,0,170,19,3.734,1.44,13.8,2.0,us0000000132
2018-07-02,2018,7,41.6452,27.9928,32.1,5.1,mb,Mediterranean Belt,earthquake,2,green,0,9,155,2.654,1.39,11.7,9.3,us0000000133
1963-05-25,1963,5,-20.7443,-70.8022,46.3,5.6,mw,Ring of Fire - Chile,earthquake,4,green,0,114,36,3.376,0.99,5.3,6.0,us0000000134
1971-01-03,1971,1,-1.8382,-31.5768,9.4,5.4,ms,Mid-Atlantic Ridge,earthquake,1,green,0,71,9,1.176,0.64,10.2,4.2,us0000000135
2014-08-14,2014,8,3.452,100.8063,109.9,5.6,mw,Ring of Fire - Indonesia,earthquake,1,green,0,103,43,4.942,0.13,9.6,7.1,us0000000136
1935-05-26,1935,5,58.4547,-148.045,24.5,5.1,mb,Ring of Fire - Alaska,earthquake,0,green,0,18,76,3.443,0.9,10.3,0.8,us0000000137
1970-03-28,1970,3,-34.4035,176.8808,40.3,5.6,mw,New Zealand,earthquake,3,green,0,98,100,4.183,0.7,19.1,8.7,us0000000138
1981-05-12,1981,5,-55.6771,-122.3905,11.3,5.8,mw,Other,earthquake,7,green,0,139,136,4.061,1.9,16.9,2.1,us0000000139
1929-05-23,1929,5,23.8721,-85.5595,26.4,5.1,ms,Caribbean,earthquake,2,green,0,12,35,0.722,0.4,4.3,10.1,us0000000140
2015-08-15,2015,8,4.1496,124.5469,37.6,5.6,mw,Ring of Fire - Indonesia,earthquake,2,green,0,103,64,0.754,1.17,7.5,9.7,us0000000141
2015-06-26,2015,6,38.7252,-51.7235,26.7,5.2,mw,Other,earthquake,1,green,0,29,94,1.88,0.54,16.1,5.2,us0000000142
1951-01-07,1951,1,32.3341,34.6174,225.7,5.6,mw,Mediterranean Belt,earthquake,3,green,0,115,126,1.718,1.44,17.0,12.1,us0000000143
2024-02-26,2024,2,59.0449,-153.8921,24.6,5.4,ml,Ring of Fire - Alaska,earthquake,1,green,0,64,68,0.927,0.92,6.1,9.7,us0000000144
2011-07-15,2011,7,16.3124,-66.6451,28.0,5.1,ms,Caribbean,earthquake,2,green,0,24,38,0.85,0.81,12.2,7.9,us0000000145
1985-09-04,1985,9,60.1434,-155.2113,157.9,5.4,ms,Ring of Fire - Alaska,earthquake,2,green,0,76,191,1.337,0.93,9.4,13.6,us0000000146
1995-04-15,1995,4,26.4478,81.6405,32.0,5.1,ms,Himalayan Belt,earthquake,1,green,0,13,165,3.061,0.32,8.2,7.1,us0000000147
2015-03-12,2015,3,40.3664,139.1494,23.5,5.7,mw,Ring of Fire - Japan,earthquake,3,green,0,124,53,4.693,1.85,1.9,14.4,us0000000148
2023-04-21,2023,4,34.5107,132.8462,96.8,5.2,mw,Ring of Fire - Japan,earthquake,0,green,0,27,144,0.338,1.32,10.3,14.2,us0000000149
1962-02-26,1962,2,36.2834,81.5682,45.9,5.2,mw,Himalayan Belt,earthquake,1,green,0,40,16,0.168,1.95,10.8,1.6,us0000000150
2013-09-05,2013,9,10.0422,124.8334,72.7,5.3,ms,Ring of Fire - Philippines,earthquake,2,green,0,56,74,4.673,1.6,9.5,10.8,us0000000151
1912-09-04,1912,9,53.7332,-172.0549,35.7,5.4,mw,Ring of Fire - Alaska,earthquake,7,green,0,74,38,0.613,1.82,5.0,10.2,us0000000152
2016-04-07,2016,4,61.4257,-147.0178,87.0,5.0,ml,Ring of Fire - Alaska,earthquake,0,green,0,5,150,2.231,0.38,13.6,1.6,us0000000153
1902-02-10,1902,2,11.2634,-65.9919,56.4,5.4,mw,Caribbean,earthquake,2,green,0,66,39,4.116,1.48,18.9,6.5,us0000000154
1984-04-07,1984,4,36.9516,144.9155,93.9,5.1,mw,Ring of Fire - Japan,earthquake,1,green,0,26,39,4.538,1.39,17.2,12.6,us0000000155
1990-02-09,1990,2,4.9888,134.31,356.1,5.7,mw,Ring of Fire - Indonesia,earthquake,4,green,0,115,171,0.872,1.98,11.3,3.2,us0000000156
2021-10-14,2021,10,0.7878,134.156,64.0,5.2,mw,Ring of Fire - Indonesia,earthquake,0,green,0,31,103,0.885,1.57,16.5,1.8,us0000000157
2022-09-26,2022,9,-5.188,95.3941,24.7,5.1,mw,Ring of Fire - Indonesia,earthquake,1,green,0,13,177,2.438,1.11,11.8,7.6,us0000000158
1991-11-06,1991,11,32.3733,131.423,247.8,6.1,mw,Ring of Fire - Japan,earthquake,9,yellow,0,189,90,1.285,1.64,10.8,11.3,us0000000159
1996-05-17,1996,5,6.2334,50.1076,26.0,5.1,mw,Other,earthquake,1,green,0,15,117,1.233,0.4,14.2,11.8,us0000000160
1950-02-07,1950,2,-8.8902,139.2729,316.2,5.6,mw,Ring of Fire - Indonesia,earthquake,2,green,0,101,187,4.004,1.01,15.3,12.2,us0000000161
2009-11-22,2009,11,26.2662,96.7075,47.1,5.1,mw,Himalayan Belt,earthquake,0,green,0,15,104,2.192,1.07,13.5,0.9,us0000000162
1986-08-09,1986,8,0.0065,133.6421,70.8,5.0,mw,Ring of Fire - Indonesia,earthquake,1,green,0,8,149,1.29,1.5,9.3,7.2,us0000000163
1996-11-28,1996,11,56.9885,-148.3701,48.3,5.0,mw,Ring of Fire - Alaska,earthquake,0,green,0,8,193,4.689,1.05,11.5,5.3,us0000000164
2022-08-24,2022,8,35.0027,135.6874,20.5,5.9,mw,Ring of Fire - Japan,earthquake,28,green,0,167,34,3.014,1.67,14.4,12.8,us0000000165
1977-07-27,1977,7,-42.8279,-67.9512,42.5,5.0,mw,Ring of Fire - Chile,earthquake,0,green,0,4,46,4.297,1.53,8.3,4.9,us0000000166
2020-05-13,2020,5,-41.5019,-68.7408,138.7,5.4,mb,Ring of Fire - Chile,earthquake,3,green,0,69,134,1.345,1.37,8.4,1.6,us0000000167
2003-04-17,2003,4,-23.8788,-68.6681,44.5,5.3,mw,Ring of Fire - Chile,earthquake,4,green,0,48,135,1.233,0.54,17.7,8.6,us0000000168
1959-04-10,1959,4,-39.9814,171.5283,202.3,5.4,mw,New Zealand,earthquake,4,green,0,67,172,1.701,0.22,17.6,12.4,us0000000169
1980-09-10,1980,9,39.627,93.7695,11.7,6.0,mw,Himalayan Belt,earthquake,13,yellow,0,182,116,2.994,0.5,14.9,15.0,us0000000170
